------- Coordinate path ------

(26, 7)
(156, 17)
(157, 20)
(378, 44)
(105, 62)
(61, 68)
(482, 69)
(443, 82)
(271, 121)
(185, 122)
(20, 30)
(13, 155)
(416, 157)
(191, 163)
(25, 175)
(45, 178)
(71, 201)
(348, 211)
(301, 218)
(162, 222)
(15, 226)
(257, 230)
(267, 235)
(323, 256)
(350, 259)
(422, 264)
(312, 264)
(0, 268)
(39, 275)
(221, 293)
(450, 294)
(313, 311)
(359, 327)
(82, 354)
(201, 360)
(289, 361)
(37, 373)
(41, 388)
(218, 406)
(459, 417)
(426, 422)
(203, 440)
(14, 457)
(141, 472)
(162, 473)
(48, 478)
(357, 483)
(38, 490)
(156, 500)
(30, 20)
